path,split,group_id,class_dir,m1_label,m2_label,m1_class,m2_class
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (1).JPG,train,G000001,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (10).JPG,train,G000002,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (100).JPG,train,G000003,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (101).JPG,train,G000005,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (102).JPG,train,G000006,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (104).JPG,train,G000008,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (105).JPG,train,G000009,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (106).JPG,train,G000010,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (107).JPG,train,G000011,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (109).JPG,train,G000013,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (11).JPG,train,G000014,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (110).JPG,train,G000015,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (111).JPG,train,G000016,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (112).JPG,train,G000017,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (113).JPG,train,G000018,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (114).JPG,train,G000019,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (115).JPG,train,G000020,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (116).JPG,train,G000021,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (117).JPG,train,G000022,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (118).JPG,train,G000023,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (119).JPG,train,G000024,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (12).JPG,train,G000025,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (121).JPG,train,G000027,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (123).JPG,train,G000029,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (124).JPG,train,G000030,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (126).JPG,train,G000032,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (128).JPG,train,G000034,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (129).JPG,train,G000035,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (13).JPG,train,G000036,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (130).JPG,train,G000037,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (131).JPG,train,G000038,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (132).JPG,train,G000039,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (133).JPG,train,G000040,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (134).JPG,train,G000041,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (135).JPG,train,G000042,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
