,rf_importance,permutation_importance,permutation_std
water_level,0.19066153808027697,0.11051788440840023,0.0034351272316707356
stress_index,0.19732776398739485,0.033015569072113296,0.002292090206938031
vpd_index,0.07487413871436005,0.03221133388400789,0.0028285682159708905
soil_moisture,0.10574922671054335,0.012810943405671904,0.0012442770809014396
temperature,0.049545866239179746,0.00559222547620829,0.0019523066418956443
soil_temp_stress,0.16689887054473063,0.0052337863883256345,0.0015646682433533708
et_rate,0.03577168845449074,0.0028967985782583196,0.0005939550492055444
temp_hum_ratio,0.052983025722808594,0.002383920302370357,0.0007601927605750339
moisture_deficit,0.06059286288513358,0.002286801331631194,0.0006847093707745854
humidity,0.028521548168262755,0.001998573252233926,0.0005341277271954972
critical_dry,0.03135827663960172,0.0018445095241670483,0.0006344672590032285
optimal_moisture,0.005715193853217129,0.000740782458511624,0.00021438689423024864
